"Study","Site","Area","Scale","index","value"
"grasshopper_glades_RybergChase","25S",582.69,"beta","beta_S_n",4.40306318462162
"grasshopper_glades_RybergChase","26",5179.5,"beta","beta_S_n",2.02587648714654
"grasshopper_glades_RybergChase","27",2913.47,"beta","beta_S_n",1.57715170260607
"grasshopper_glades_RybergChase","27W",1748.08,"beta","beta_S_n",2.44840312859007
"grasshopper_glades_RybergChase","28",793.11,"beta","beta_S_n",1.60677110844543
"grasshopper_glades_RybergChase","29",1812.82,"beta","beta_S_n",4.23184851787868
"grasshopper_glades_RybergChase","30",582.69,"beta","beta_S_n",4.94904669196672
"grasshopper_glades_RybergChase","31",776.92,"beta","beta_S_n",1.43393988316388
"grasshopper_glades_RybergChase","4",517.95,"beta","beta_S_n",2.98581735925325
"grasshopper_glades_RybergChase","5",647.44,"beta","beta_S_n",1.9880866566998
"grasshopper_glades_RybergChase","6",776.92,"beta","beta_S_n",2.41955765266266
"grasshopper_glades_RybergChase","8",6215.4,"beta","beta_S_n",1.235335590269
"grasshopper_glades_RybergChase","9",1553.85,"beta","beta_S_n",3.26427025819144
"grasshopper_glades_RybergChase","11",1812.82,"beta","beta_S_PIE",0.980188553126115
"grasshopper_glades_RybergChase","12",2330.77,"beta","beta_S_PIE",1.30467844101371
"grasshopper_glades_RybergChase","13",3625.65,"beta","beta_S_PIE",1.41728778855972
"grasshopper_glades_RybergChase","14",2945.84,"beta","beta_S_PIE",1.71831662489557
"grasshopper_glades_RybergChase","15",2622.12,"beta","beta_S_PIE",1.22277322907389
"grasshopper_glades_RybergChase","16",2330.77,"beta","beta_S_PIE",1.07372105950561
"grasshopper_glades_RybergChase","17",4920.52,"beta","beta_S_PIE",1.75872887202633
"grasshopper_glades_RybergChase","18",2330.77,"beta","beta_S_PIE",1.27976429023504
"grasshopper_glades_RybergChase","19",3237.19,"beta","beta_S_PIE",0.99895453180699
"grasshopper_glades_RybergChase","20",226.6,"beta","beta_S_PIE",2.63717948717949
"grasshopper_glades_RybergChase","21",10488.49,"beta","beta_S_PIE",1.34390252186274
"grasshopper_glades_RybergChase","22",582.69,"beta","beta_S_PIE",1.2174926035503
"grasshopper_glades_RybergChase","23",971.16,"beta","beta_S_PIE",1.10566583263831
"grasshopper_glades_RybergChase","24",226.6,"beta","beta_S_PIE",1.07399626517274
"grasshopper_glades_RybergChase","25",1812.82,"beta","beta_S_PIE",1.10876640921447
"grasshopper_glades_RybergChase","25S",582.69,"beta","beta_S_PIE",1.89675324675325
"grasshopper_glades_RybergChase","26",5179.5,"beta","beta_S_PIE",1.5023370011487
"grasshopper_glades_RybergChase","27",2913.47,"beta","beta_S_PIE",1.08367329287795
"grasshopper_glades_RybergChase","27W",1748.08,"beta","beta_S_PIE",1.24916966254605
"grasshopper_glades_RybergChase","28",793.11,"beta","beta_S_PIE",1.10273348227115
"grasshopper_glades_RybergChase","29",1812.82,"beta","beta_S_PIE",1.2311186696901
"grasshopper_glades_RybergChase","30",582.69,"beta","beta_S_PIE",2.54545454545455
"grasshopper_glades_RybergChase","31",776.92,"beta","beta_S_PIE",1.12798967236467
"grasshopper_glades_RybergChase","4",517.95,"beta","beta_S_PIE",1.11776767214267
"grasshopper_glades_RybergChase","5",647.44,"beta","beta_S_PIE",0.9671258132652
"grasshopper_glades_RybergChase","6",776.92,"beta","beta_S_PIE",1.17524028834602
"grasshopper_glades_RybergChase","8",6215.4,"beta","beta_S_PIE",1.10256074540674
"grasshopper_glades_RybergChase","9",1553.85,"beta","beta_S_PIE",1.7452841760656
"grasshopper_glades_RybergChase","11",1812.82,"gamma","S_n",10.4128398093602
"grasshopper_glades_RybergChase","12",2330.77,"gamma","S_n",11.1426102255946
"grasshopper_glades_RybergChase","13",3625.65,"gamma","S_n",8.61914810093968
"grasshopper_glades_RybergChase","14",2945.84,"gamma","S_n",12.3915378417713
"grasshopper_glades_RybergChase","15",2622.12,"gamma","S_n",8.65942286126385
"grasshopper_glades_RybergChase","16",2330.77,"gamma","S_n",8.71991828396323
"grasshopper_glades_RybergChase","17",4920.52,"gamma","S_n",9.76705561592931
"grasshopper_glades_RybergChase","18",2330.77,"gamma","S_n",11.267781674074
"grasshopper_glades_RybergChase","19",3237.19,"gamma","S_n",9.70295573460808
"grasshopper_glades_RybergChase","20",226.6,"gamma","S_n",12.8890060590326
"grasshopper_glades_RybergChase","21",10488.49,"gamma","S_n",11.2795197414347
"grasshopper_glades_RybergChase","22",582.69,"gamma","S_n",9.16523264636398
"grasshopper_glades_RybergChase","23",971.16,"gamma","S_n",8.06433086708112
"grasshopper_glades_RybergChase","24",226.6,"gamma","S_n",6.19669988116538
"grasshopper_glades_RybergChase","25",1812.82,"gamma","S_n",10.027328207774
"grasshopper_glades_RybergChase","25S",582.69,"gamma","S_n",10.7030879268783
"grasshopper_glades_RybergChase","26",5179.5,"gamma","S_n",9.53137740097279
"grasshopper_glades_RybergChase","27",2913.47,"gamma","S_n",10.8491638433985
"grasshopper_glades_RybergChase","27W",1748.08,"gamma","S_n",9.49369020455286
"grasshopper_glades_RybergChase","28",793.11,"gamma","S_n",8.90064779266895
"grasshopper_glades_RybergChase","29",1812.82,"gamma","S_n",11.8012386539903
"grasshopper_glades_RybergChase","30",582.69,"gamma","S_n",5.77388780729451
"grasshopper_glades_RybergChase","31",776.92,"gamma","S_n",7.58172098460134
"grasshopper_glades_RybergChase","4",517.95,"gamma","S_n",10.9516129032258
"grasshopper_glades_RybergChase","5",647.44,"gamma","S_n",10.6441531888166
"grasshopper_glades_RybergChase","6",776.92,"gamma","S_n",8.58125405354945
"grasshopper_glades_RybergChase","8",6215.4,"gamma","S_n",10.4773924905451
"grasshopper_glades_RybergChase","9",1553.85,"gamma","S_n",10.7735555784189
"grasshopper_glades_RybergChase","11",1812.82,"gamma","S_PIE",4.57782101167315
"grasshopper_glades_RybergChase","12",2330.77,"gamma","S_PIE",5.63934426229508
"grasshopper_glades_RybergChase","13",3625.65,"gamma","S_PIE",5.92324561403509
"grasshopper_glades_RybergChase","14",2945.84,"gamma","S_PIE",7.25
"grasshopper_glades_RybergChase","15",2622.12,"gamma","S_PIE",4.41859636622729
"grasshopper_glades_RybergChase","16",2330.77,"gamma","S_PIE",4.1588785046729
"grasshopper_glades_RybergChase","17",4920.52,"gamma","S_PIE",4.95416448402305
"grasshopper_glades_RybergChase","18",2330.77,"gamma","S_PIE",5.34263338228096
"grasshopper_glades_RybergChase","19",3237.19,"gamma","S_PIE",4.10134128166915
"grasshopper_glades_RybergChase","20",226.6,"gamma","S_PIE",5.19444444444444
"grasshopper_glades_RybergChase","21",10488.49,"gamma","S_PIE",6.00138777152052
"grasshopper_glades_RybergChase","22",582.69,"gamma","S_PIE",2.70401337792642
"grasshopper_glades_RybergChase","23",971.16,"gamma","S_PIE",4.88073394495413
"grasshopper_glades_RybergChase","24",226.6,"gamma","S_PIE",1.89705882352941
"grasshopper_glades_RybergChase","25",1812.82,"gamma","S_PIE",5.73682108626198
"grasshopper_glades_RybergChase","25S",582.69,"gamma","S_PIE",4.92857142857143
"grasshopper_glades_RybergChase","26",5179.5,"gamma","S_PIE",5.66146281499692
"grasshopper_glades_RybergChase","27",2913.47,"gamma","S_PIE",5.06361784016301
"grasshopper_glades_RybergChase","27W",1748.08,"gamma","S_PIE",3.62573964497041
"grasshopper_glades_RybergChase","28",793.11,"gamma","S_PIE",5.48630136986302
"grasshopper_glades_RybergChase","29",1812.82,"gamma","S_PIE",4.91111111111111
"grasshopper_glades_RybergChase","30",582.69,"gamma","S_PIE",3.27272727272727
"grasshopper_glades_RybergChase","31",776.92,"gamma","S_PIE",3.23672566371681
"grasshopper_glades_RybergChase","4",517.95,"gamma","S_PIE",3.82020202020202
"grasshopper_glades_RybergChase","5",647.44,"gamma","S_PIE",3.08960270498732
"grasshopper_glades_RybergChase","6",776.92,"gamma","S_PIE",3.79295154185022
"grasshopper_glades_RybergChase","8",6215.4,"gamma","S_PIE",4.81053380322675
"grasshopper_glades_RybergChase","9",1553.85,"gamma","S_PIE",4.4880073800738
"grasshopper_glades_RybergChase","11",1812.82,"gamma","S_total",21.956043956044
"grasshopper_glades_RybergChase","12",2330.77,"gamma","S_total",21.937984496124
"grasshopper_glades_RybergChase","13",3625.65,"gamma","S_total",10.972972972973
"grasshopper_glades_RybergChase","14",2945.84,"gamma","S_total",26.3563218390805
"grasshopper_glades_RybergChase","15",2622.12,"gamma","S_total",15.9746835443038
"grasshopper_glades_RybergChase","16",2330.77,"gamma","S_total",11.4833333333333
"grasshopper_glades_RybergChase","17",4920.52,"gamma","S_total",21.9589743589744
"grasshopper_glades_RybergChase","18",2330.77,"gamma","S_total",32.2086148648649
"grasshopper_glades_RybergChase","19",3237.19,"gamma","S_total",15.6459948320413
"grasshopper_glades_RybergChase","20",226.6,"gamma","S_total",16.0661764705882
"grasshopper_glades_RybergChase","21",10488.49,"gamma","S_total",21.9990850869167
"grasshopper_glades_RybergChase","22",582.69,"gamma","S_total",14.959595959596
"grasshopper_glades_RybergChase","23",971.16,"gamma","S_total",8.49122807017544
"grasshopper_glades_RybergChase","24",226.6,"gamma","S_total",6.24418604651163
"grasshopper_glades_RybergChase","25",1812.82,"gamma","S_total",13.9882352941176
"grasshopper_glades_RybergChase","25S",582.69,"gamma","S_total",11.4673913043478
"grasshopper_glades_RybergChase","26",5179.5,"gamma","S_total",22.9802631578947
"grasshopper_glades_RybergChase","27",2913.47,"gamma","S_total",17.1196933962264
"grasshopper_glades_RybergChase","27W",1748.08,"gamma","S_total",14.4912790697674
"grasshopper_glades_RybergChase","28",793.11,"gamma","S_total",14.45
"grasshopper_glades_RybergChase","29",1812.82,"gamma","S_total",17.1298076923077
"grasshopper_glades_RybergChase","30",582.69,"gamma","S_total",5.77777777777778
"grasshopper_glades_RybergChase","31",776.92,"gamma","S_total",8.98701298701299
"grasshopper_glades_RybergChase","4",517.95,"gamma","S_total",13.2137096774194
"grasshopper_glades_RybergChase","5",647.44,"gamma","S_total",15.953488372093
"grasshopper_glades_RybergChase","6",776.92,"gamma","S_total",8.97619047619048
"grasshopper_glades_RybergChase","8",6215.4,"gamma","S_total",20.2458791208791
"grasshopper_glades_RybergChase","9",1553.85,"gamma","S_total",23.9357142857143
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"alpha","S_n",1.66666666666667
"lizards_islands_SurendranVasudevan","Havelock",113.93,"alpha","S_n",5.11666666098773
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"alpha","S_n",2.16666666666667
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"alpha","S_n",4.38897883489885
"lizards_islands_SurendranVasudevan","Long Island",17.9,"alpha","S_n",2
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"alpha","S_n",4.96660591665951
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"alpha","S_n",4.089869978861
"lizards_islands_SurendranVasudevan","Redskin",3.3,"alpha","S_n",2
"lizards_islands_SurendranVasudevan","Rutland",137.17,"alpha","S_n",3
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"alpha","S_n",4.82955080998333
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"alpha","S_n",2.37499999999999
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"alpha","S_PIE",1.64705882352941
"lizards_islands_SurendranVasudevan","Havelock",113.93,"alpha","S_PIE",5.86111111111111
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"alpha","S_PIE",2.75
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"alpha","S_PIE",3.24435937893698
"lizards_islands_SurendranVasudevan","Long Island",17.9,"alpha","S_PIE",2.25
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"alpha","S_PIE",3.33812111801242
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"alpha","S_PIE",4.3219696969697
"lizards_islands_SurendranVasudevan","Redskin",3.3,"alpha","S_PIE",1.56190476190476
"lizards_islands_SurendranVasudevan","Rutland",137.17,"alpha","S_PIE",2.46795131845842
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"alpha","S_PIE",2.57283362771748
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"alpha","S_PIE",1
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"beta","beta_S_n",1.33333333333333
"lizards_islands_SurendranVasudevan","Havelock",113.93,"beta","beta_S_n",1.43649732722632
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"beta","beta_S_n",0.928571428571429
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"beta","beta_S_n",1.44514416697312
"lizards_islands_SurendranVasudevan","Long Island",17.9,"beta","beta_S_n",2
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"beta","beta_S_n",1.11265245575769
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"beta","beta_S_n",1.79023692618082
"lizards_islands_SurendranVasudevan","Redskin",3.3,"beta","beta_S_n",1.83333333333333
"lizards_islands_SurendranVasudevan","Rutland",137.17,"beta","beta_S_n",1.75
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"beta","beta_S_n",1.99665344504333
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"beta","beta_S_n",1.95
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"beta","beta_S_PIE",1.13726372637264
"lizards_islands_SurendranVasudevan","Havelock",113.93,"beta","beta_S_PIE",1.02922610263978
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"beta","beta_S_PIE",0.855555555555556
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"beta","beta_S_PIE",1.00854665128265
"lizards_islands_SurendranVasudevan","Long Island",17.9,"beta","beta_S_PIE",2.22527472527472
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"beta","beta_S_PIE",0.875390932625347
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"beta","beta_S_PIE",0.972780468119451
"lizards_islands_SurendranVasudevan","Redskin",3.3,"beta","beta_S_PIE",1.18248571407613
"lizards_islands_SurendranVasudevan","Rutland",137.17,"beta","beta_S_PIE",1.07238095238095
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"beta","beta_S_PIE",0.996538159036767
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"beta","beta_S_PIE",2.51612903225806
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"gamma","S_n",2
"lizards_islands_SurendranVasudevan","Havelock",113.93,"gamma","S_n",7
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"gamma","S_n",2
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"gamma","S_n",5.53674440555572
"lizards_islands_SurendranVasudevan","Long Island",17.9,"gamma","S_n",3
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"gamma","S_n",5.31679205288199
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"gamma","S_n",6
"lizards_islands_SurendranVasudevan","Redskin",3.3,"gamma","S_n",3
"lizards_islands_SurendranVasudevan","Rutland",137.17,"gamma","S_n",5
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"gamma","S_n",7.78036771085465
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"gamma","S_n",3
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"gamma","S_PIE",1.69306930693069
"lizards_islands_SurendranVasudevan","Havelock",113.93,"gamma","S_PIE",5.5607476635514
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"gamma","S_PIE",2.33333333333333
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"gamma","S_PIE",2.99193989071038
"lizards_islands_SurendranVasudevan","Long Island",17.9,"gamma","S_PIE",3.46153846153846
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"gamma","S_PIE",2.64022140221402
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"gamma","S_PIE",3.76271186440678
"lizards_islands_SurendranVasudevan","Redskin",3.3,"gamma","S_PIE",1.67003367003367
"lizards_islands_SurendranVasudevan","Rutland",137.17,"gamma","S_PIE",2.38333333333333
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"gamma","S_PIE",2.39928057553957
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"gamma","S_PIE",2.51612903225806
"lizards_islands_SurendranVasudevan","Alexandria",3.6,"gamma","S_total",2
"lizards_islands_SurendranVasudevan","Havelock",113.93,"gamma","S_total",7
"lizards_islands_SurendranVasudevan","Hobday Island",3.6,"gamma","S_total",2
"lizards_islands_SurendranVasudevan","Little Andaman",734.39,"gamma","S_total",7
"lizards_islands_SurendranVasudevan","Long Island",17.9,"gamma","S_total",3
"lizards_islands_SurendranVasudevan","Neil Island",18.9,"gamma","S_total",5.49074074074074
"lizards_islands_SurendranVasudevan","North Andaman",1375.99,"gamma","S_total",6
"lizards_islands_SurendranVasudevan","Redskin",3.3,"gamma","S_total",3
"lizards_islands_SurendranVasudevan","Rutland",137.17,"gamma","S_total",5
"lizards_islands_SurendranVasudevan","South Andaman",1350.82,"gamma","S_total",14.948275862069
"lizards_islands_SurendranVasudevan","Tarmugli",11.5,"gamma","S_total",3
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"alpha","S_n",15.8316312735131
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"alpha","S_n",16.4326693620528
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"alpha","S_n",24.8793742921666
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"alpha","S_n",27.422498862735
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"alpha","S_n",31.5666916451787
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"alpha","S_n",30.6644213643662
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"alpha","S_n",21.6970042882579
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"alpha","S_PIE",2.51270027125351
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"alpha","S_PIE",1.42568452872821
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"alpha","S_PIE",3.77624657334506
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"alpha","S_PIE",1.8657050441988
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"alpha","S_PIE",3.71185164273508
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"alpha","S_PIE",3.28440503003238
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"alpha","S_PIE",2.00085742003227
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"beta","beta_S_n",1.45061156737587
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"beta","beta_S_n",1.19179358356815
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"beta","beta_S_n",1.15981689078698
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"beta","beta_S_n",1.09650681748147
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"beta","beta_S_n",1.08719752940727
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"beta","beta_S_n",1.08204315285327
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"beta","beta_S_n",1.29733175821383
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"beta","beta_S_PIE",0.955021879341781
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"beta","beta_S_PIE",1.05142276622565
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"beta","beta_S_PIE",1.08943139945477
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"beta","beta_S_PIE",1.04616344012916
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"beta","beta_S_PIE",0.994422796391927
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"beta","beta_S_PIE",0.993916479537554
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"beta","beta_S_PIE",1.00838940419697
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"gamma","S_n",22.3607021901954
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"gamma","S_n",29.6186083840397
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"gamma","S_n",34.6691943828045
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"gamma","S_n",34.3501592277449
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"gamma","S_n",17.2249203164171
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"gamma","S_n",29.5321895121095
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"gamma","S_n",24.9951600077562
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"gamma","S_PIE",2.12970890410959
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"gamma","S_PIE",3.91856785398881
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"gamma","S_PIE",2.48203254732647
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"gamma","S_PIE",3.83114128128978
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"gamma","S_PIE",1.41696445818041
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"gamma","S_PIE",1.84085094381434
"plants_habitat_fragments_Giladi_et_al","Dvir_98",3.8997,"gamma","S_PIE",1.88369600745889
"plants_habitat_fragments_Giladi_et_al","Dvir_121",0.5616,"gamma","S_total",25.094375
"plants_habitat_fragments_Giladi_et_al","Dvir_15",0.7378,"gamma","S_total",43.0615079365079
"plants_habitat_fragments_Giladi_et_al","Dvir_43",2.9119,"gamma","S_total",46.1848101265823
"plants_habitat_fragments_Giladi_et_al","Dvir_58",1.9435,"gamma","S_total",59.3080103359173
"plants_habitat_fragments_Giladi_et_al","Dvir_66",0.6199,"gamma","S_total",23.1580756013746
"plants_habitat_fragments_Giladi_et_al","Dvir_95",1.3472,"gamma","S_total",37.5425752855659
